n_even,avg
4,0
6,0
8,2
10,2
12,2
14,4
16,8
18,6
20,10
22,9.3333333333
24,8.6666666667
26,10.6666666667
28,12
30,9.3333333333
32,16
34,16
36,15
38,12
40,19.3333333333
42,18
44,28.6666666667
46,22
48,24.4
50,29
52,26
54,25.6
56,32.6666666667
58,27
60,24
62,26.6666666667
64,40.4
66,34
68,30
70,36.8
72,36
74,37.6
76,45.2
78,41.7142857143
80,42
82,39.2
84,39.5
86,52
88,42
90,41.7777777778
92,59
94,43.2
96,47.7142857143
98,40
100,50.6666666667
102,51
104,55.6
106,56.6666666667
108,59
110,65.3333333333
112,64.8571428571
114,60.4
116,75.3333333333
118,62
120,60.3333333333
122,54
124,66
126,58
128,54
130,67.4285714286
132,60.2222222222
134,65.3333333333
136,73.2
138,67.5
140,67.1428571429
142,74
144,76.1818181818
146,64
148,78
150,69
152,86
154,89
156,79.8181818182
158,79.2
160,86
162,80.4
164,90
166,84.6666666667
168,86.9230769231
170,99.5555555556
172,78
174,90.9090909091
176,92.8571428571
178,94.2857142857
180,90
182,99.3333333333
184,111.5
186,99.3846153846
188,102
190,96
192,97.2727272727
194,110.8571428571
196,117.1111111111
198,104
200,115
202,116.4444444444
204,117.4285714286
206,89.1428571429
208,114
210,101.8947368421
212,112
214,108.5
216,108.1538461538
218,109.7142857143
220,99.3333333333
222,117.8181818182
224,114
226,113.7142857143
228,117.3333333333
230,136.8888888889
232,133.4285714286
234,126.1333333333
236,133.5555555556
238,120
240,121.5555555556
242,154
244,149.1111111111
246,135
248,136
250,132
252,134.75
254,131.5555555556
256,153
258,135.1428571429
260,138.8
262,138.6666666667
264,133.5
266,125.5
268,158
270,144.8421052632
272,158
274,169.4545454545
276,142
278,120
280,158.8571428571
282,161.75
284,176.5
286,172.3333333333
288,158.2352941176
290,146.4
292,184.5
294,155.1578947368
296,167.5
298,160.3636363636
300,161.0476190476
302,132
304,157.2
306,147.2
308,133.5
310,179.3333333333
312,164.1176470588
314,179.5555555556
316,186.4
318,170.6666666667
320,172.5454545455
322,190.9090909091
324,181.6
326,164.5714285714
328,165.6
330,157.3333333333
332,138
334,188
336,170.2105263158
338,161.3333333333
340,179.8461538462
342,172.7058823529
344,202.8
346,132
348,169.5
350,193.5384615385
352,204.4
354,196.8
356,206.8888888889
358,182.4
360,186.7272727273
362,172
364,190.2857142857
366,200
368,201
370,199.1428571429
372,188.2222222222
374,192
376,212.5454545455
378,193.8181818182
380,199.8461538462
382,202
384,211.8947368421
386,226.6666666667
388,196.6666666667
390,197.4814814815
392,207.4545454545
394,206.1818181818
396,218.380952381
398,209.1428571429
400,227.4285714286
402,216
404,226
406,219.6923076923
408,201.8
410,228
412,246.3636363636
414,218.0952380952
416,256.8
418,198.5454545455
420,213.2
422,182.9090909091
424,220.3333333333
426,246.4761904762
428,250
430,203.1428571429
432,228.3157894737
434,221.2307692308
436,251.8181818182
438,244.5714285714
440,244.2857142857
442,259.6923076923
444,232.0952380952
446,277.6666666667
448,240.4615384615
450,237.9259259259
452,265.6666666667
454,238
456,241.3333333333
458,237.3333333333
460,252.25
462,247.4285714286
464,250.6666666667
466,254.1538461538
468,254.6666666667
470,269.3333333333
472,299.5384615385
474,241.2173913043
476,277.7142857143
478,257.4545454545
480,258.8275862069
482,261.4545454545
484,258
486,278.7826086957
488,238
490,269.2631578947
492,269.4545454545
494,283.0769230769
496,259.8461538462
498,276
500,270.9230769231
502,285.8666666667
504,257.1111111111
506,281.3333333333
508,272.5714285714
510,266.25
512,253.2727272727
514,279.4285714286
516,288.6086956522
518,278.1818181818
520,278.4705882353
522,282.3333333333
524,278.3636363636
526,292.2666666667
528,301.52
530,288
532,296.8235294118
534,264.1818181818
536,283.8461538462
538,276.8571428571
540,267.2
542,258
544,270.3076923077
546,277.6
548,239.4545454545
550,290.7368421053
552,297.3043478261
554,269.4545454545
556,267.8181818182
558,285.5652173913
